"KO-DMSO_Rep1"	"KO-DMSO_Rep2"	"KO-E20_Rep1"	"KO-E20_Rep2"	"WT-DMSO_Rep1"	"WT-DMSO_Rep2"	"WT-E20_Rep1"	"WT-E20_Rep2"
"ENSG00000173757.11"	2501.7	2284.382	2750.284	3332.698	6067.391	3473.598	5928.745	7696.34
"ENSG00000173762.8"	76	48	24	38	15	11	11	20.999
"ENSG00000173769.4"	0	0	0	0	0	0	0	0
"ENSG00000173786.17"	6679.475	5500.715	4609.064	4581.071	7440.122	3876.586	5168.137	6979.457
"ENSG00000173801.17"	73603.002	62746.343	41480.155	43601.075	28829.665	13635.701	23577.131	32865.187
"ENSG00000173805.16"	1013	741.016	608.999	572.999	821	388	700	969.012
"ENSG00000173809.18"	0	0	0	0	1	0	1	1
"ENSG00000173810.9"	0	0	0	0	0	0	0	0
"ENSG00000173811.11"	1	1	0	0	0	3	1	3
"ENSG00000173812.11"	12626.774	11800.789	27112.892	30051.175	12975.84	7437.632	30551.065	40522.078
"ENSG00000173818.17"	507.065	401	400	352.998	782.013	376	575.001	738
"ENSG00000173821.20"	285.999	292.882	363	538.645	564.961	287.856	927.842	954.001
"ENSG00000173825.7"	85	93	54	70	159	68	100	157
"ENSG00000173826.15"	44	44	15	9	16	5	4	6
"ENSG00000173838.12"	11	13	4	15	286.742	139.687	156.819	201.201
"ENSG00000173846.13"	400	351	243.999	230.999	462.001	244	637.999	898.006
"ENSG00000173848.19"	50	50	86	135	133.001	74	334	317
"ENSG00000173852.16"	47	43	90.999	180.937	132	87	315.894	318.936
"ENSG00000173862.3"	0	0	0	1	0	0	0	0
"ENSG00000173867.10"	21.16	19.478	3.542	13.544	13.2	16.497	50.435	81.41
"ENSG00000173868.12"	5507.98	4755.173	2176.324	2092.004	842	401.854	102	121
"ENSG00000173875.14"	26	27	47	78	71	46	154	144
"ENSG00000173889.16"	27	20	48.999	72	48.001	27	152	101
"ENSG00000173890.17"	10	12	36	46	58.012	20	100.745	106.153
"ENSG00000173894.11"	1344	1110.129	906.08	1042	3137	1520.001	2043.081	2945.009
"ENSG00000173898.15"	2500.999	1934.001	1830	1901.142	4072.999	1914.982	3070.461	4036.812
"ENSG00000173905.9"	27	40	62	145	201	100	437	284
"ENSG00000173908.9"	0	0	0	0	0	0	0	0
"ENSG00000173914.12"	214.461	202.386	121.785	186.296	295.988	159.825	300.97	332.199
"ENSG00000173915.16"	2355.008	1948.081	1801.784	1937.999	2732.967	1597	2600	2857.068
"ENSG00000173917.11"	5	2	6	7	1	2	12	14
"ENSG00000173918.15"	0	0	0	1	0	0	0	1
"ENSG00000173926.6"	53.045	41	92	87.001	116	71	150.121	186.222
"ENSG00000173928.4"	112.568	106.096	63.863	64.37	229.158	111.692	182.684	214.086
"ENSG00000173930.9"	0	0	0	0	0	0	0	0
"ENSG00000173933.21"	2510.759	2085.054	1647.865	1755.957	4422.343	2415.554	2960.457	3901.283
"ENSG00000173947.14"	47	30	14.001	28	6	2	7	9
"ENSG00000173950.16"	164	129	105	100	489.12	254	317	336.202
"ENSG00000173954.8"	0	0	0	0	0	0	0	0
"ENSG00000173960.14"	52	65	94	129	140.001	82	294.999	252
"ENSG00000173966.7"	0	0	0	0	0	0	0	0
"ENSG00000173976.16"	0	0	0	0	1	0	0	0
"ENSG00000173988.14"	0	1	0	1	0	0	1	2
"ENSG00000173991.6"	17	18	15	22	25	15	76.053	125
"ENSG00000173992.9"	1506	1237	710.001	742	1636.711	739.001	1059.001	1347.001
"ENSG00000174004.6"	0	1	0	0	0	3	0	1
"ENSG00000174007.9"	3	3	2	3	5	8	20	15
"ENSG00000174010.10"	49	44	58	100	112	72	203	154
"ENSG00000174013.8"	6	4	14	27	47	17	134	120
"ENSG00000174015.10"	0	0	0	0	0	0	0	0
"ENSG00000174016.11"	0	0	0	0	0	0	0	0
"ENSG00000174021.12"	2141.65	1892.694	1909.999	2006.113	3203.621	1946.69	2893.173	3193.994
"ENSG00000174028.6"	4.918	0	9.346	0	12.126	14.037	31.446	13.501
"ENSG00000174032.17"	14	11	9	46.001	37	21	97	72.96
"ENSG00000174038.13"	0	0	1	4	0	0	2.407	1
"ENSG00000174059.17"	0	0	0	0	0	0	1	2
"ENSG00000174080.12"	2820	2460.344	1369.001	1256.002	3021.375	1533.089	1803.002	2462.102
"ENSG00000174099.12"	126.001	99	164.001	192.001	192	116.001	311	324
"ENSG00000174106.3"	17	19	27	81	51	42	114	90
"ENSG00000174109.5"	418	399	350	420	561	286	672.009	749
"ENSG00000174123.11"	0	0	0	0	0	0	0	0
"ENSG00000174125.8"	0	0	0	1	0	1	0	0
"ENSG00000174130.13"	4	1	10	17	5	3	20	24
"ENSG00000174132.9"	209	183	257	272	351	193	467	587
"ENSG00000174136.13"	83	72	124	139	198	101	292.602	363.557
"ENSG00000174137.14"	149.001	141	212.999	201	244.999	134	373	427
"ENSG00000174145.8"	0	0	0	0	0	0	0	0
"ENSG00000174151.15"	523	464.001	324.999	305	622	284.999	521	657.039
"ENSG00000174156.15"	0	0	0	0	0	0	0	0
"ENSG00000174165.8"	1344.289	1004.783	966	877.546	2480.136	1256.466	1931.402	2446.658
"ENSG00000174171.7"	0	1.146	2.238	1.167	0	0	0	0
"ENSG00000174173.7"	7	12	18	31	41	36	83	67
"ENSG00000174175.17"	0	0	0	0	0	0	0	0
"ENSG00000174177.13"	805.999	561	646.921	632.323	1355.999	588	1020.412	1284.117
"ENSG00000174197.19"	22	29	62	107	80	48	157	145
"ENSG00000174206.13"	39	21	43.999	44.999	62	32	84	102.034
"ENSG00000174225.15"	0	0	1	2	0	0	1	2
"ENSG00000174226.9"	0	0	0	0	0	0	0	0
"ENSG00000174227.16"	551.998	459	468.012	560	704.999	378.001	729	980
"ENSG00000174231.18"	8113.432	7216.449	8692.957	9886.182	13058.028	7679.182	11890.223	16194.006
"ENSG00000174233.12"	2895.975	2414.635	3342.166	3316	3622.266	1847	3905.676	5236.711
"ENSG00000174236.4"	1	0	1	0	0	0	0	3
"ENSG00000174238.16"	1385.859	1218.097	1102.11	1175.652	2056.324	1193.676	2145.817	2598.09
"ENSG00000174243.11"	2125.858	1927.38	2105.852	2559.187	3725.999	1961.003	3354	4093
"ENSG00000174255.8"	0	0	0	0	0	0	0	0
"ENSG00000174276.7"	1279.041	1113.452	765.743	715.008	2486.027	1267.005	1371	1937.228
"ENSG00000174279.5"	0	0	0	0	0	0	0	0
"ENSG00000174282.12"	2435.128	2086	2700.908	3451.622	2947.504	1533	3678.017	4833.509
"ENSG00000174292.13"	841	681.103	558	520.001	1183.999	555.236	1032.444	1359.089
"ENSG00000174306.22"	163.001	146.011	189	284.999	259	164	442	507
"ENSG00000174307.7"	5998	5147.478	6794.957	7056.133	9169.453	4305.516	10223.595	14667.215
"ENSG00000174325.6"	0	0	0	0	0	0	0	0
"ENSG00000174326.15"	27	25	14	17	34	29	25	33
"ENSG00000174327.7"	758.109	681	330	402	534	246	450	643.325
"ENSG00000174332.6"	11	5	8	6	31	25	46	56
"ENSG00000174339.3"	0	0	0	0	0	0	0	0
"ENSG00000174343.6"	0	0	0	1	0	0	0	0
"ENSG00000174348.14"	0	0	0	0	0	0	0	0
"ENSG00000174353.18"	10.691	19.514	32.502	32.879	28.687	7.795	26.726	57.375
"ENSG00000174358.16"	6	6	2	0	10	5	6	3
"ENSG00000174365.22"	902.001	761.998	587.999	632	915.999	462.001	837	1134.998
"ENSG00000174370.12"	84	61	35	60	99	48	78	107
"ENSG00000174371.17"	18	10	25	52	50.001	25	88	83.001
"ENSG00000174373.17"	16	10	18.953	39	17	4	67.803	49.001
"ENSG00000174384.9"	39.847	25.34	30.725	35.65	54.658	19.57	88.086	78.241
"ENSG00000174403.17"	0	0	0	0	0	0	0	0
"ENSG00000174405.15"	14	16	14	30.999	16	12	51	24
"ENSG00000174407.15"	0	0	0	0	0	0	0	0
"ENSG00000174408.8"	0	0	0	0	0	0	0	0
"ENSG00000174417.3"	0	0	0	0	1	0	0	0
"ENSG00000174418.7"	0	0	0	0	0	0	0	0
"ENSG00000174428.19"	215.017	200.957	261.1	381.662	324.082	172.762	672.033	633.555
"ENSG00000174429.4"	0	0	0	0	0	0	0	0
"ENSG00000174437.18"	1230.31	1205.005	1498.012	2757.278	2299.387	1366.684	3371.14	3045.006
"ENSG00000174442.12"	12	15	20	52	43	13	95.793	70.949
"ENSG00000174444.15"	12548.017	11161.992	18184.785	22788.996	20761.312	11570.142	33932.351	38316.361
"ENSG00000174446.13"	99.395	85.663	83.895	133.405	107.611	52.945	211.531	224.94
"ENSG00000174448.9"	1	0	0	1	1	1	1	0
"ENSG00000174450.13"	0	0	0	0	1	0	0	0
"ENSG00000174453.10"	0	0	0	0	0	0	0	0
"ENSG00000174456.16"	88.49	65.908	222.497	321.662	116.318	51.591	297.881	395.518
"ENSG00000174460.4"	0	0	0	0	0	0	0	0
"ENSG00000174469.23"	0	0	0	0	0	0	0	0
"ENSG00000174473.16"	0	0	1	0	1	0	1	0
"ENSG00000174482.11"	1	0	3	12	14	3	29	32.999
"ENSG00000174483.20"	689.314	571.999	537.002	568.545	920.339	515.93	718.543	863.106
"ENSG00000174485.16"	5	7	8	11	13	4	46	22
"ENSG00000174495.12"	0	0	0	0	0	0	0	0
"ENSG00000174498.14"	27	19	12	7	64	42	33	53
"ENSG00000174500.13"	0	0	0	0	0	1	4	4
"ENSG00000174501.15"	4	3	1	6	3	1	14.767	6
"ENSG00000174502.19"	0	0	0	0	0	0	0	0
"ENSG00000174514.13"	15	9	2	7	29	18.999	27.016	29
"ENSG00000174516.15"	677.106	541.007	681.912	712.881	1173.002	577.999	991.532	1396.427
"ENSG00000174521.8"	13	14	13	24	19	9	14	19
"ENSG00000174527.11"	0	0	1	0	0	0	1	0
"ENSG00000174529.7"	14	4	13	16	33	6	33	44
"ENSG00000174547.13"	1769.999	1465.007	1297.02	1316	3388.373	1736	2243.348	3144.018
"ENSG00000174562.14"	1	2	0	1	2	2	1	2
"ENSG00000174564.13"	38	29	38	42	10	8	23	17
"ENSG00000174567.8"	0	0	0	0	1	0	1	0
"ENSG00000174572.3"	0	0	0	0	0	0	0	0
"ENSG00000174574.16"	550	435	724	916	955.001	552.017	1791	1816.005
"ENSG00000174576.10"	0	0	0	0	0	0	0	0
"ENSG00000174579.5"	9	19	42	77	37.088	21	127	90
"ENSG00000174586.11"	137.432	99.665	89.895	126.171	187.817	113.29	213.781	326.52
"ENSG00000174599.5"	0	0	0	0	0	0	0	0
"ENSG00000174600.14"	0	0	0	0	0	0	0	0
"ENSG00000174606.14"	71	46	65	111.999	113.999	61.001	205	205
"ENSG00000174607.11"	3	0	2	5	13	12	36	31
"ENSG00000174611.12"	0	0	1	0	0	0	3	1
"ENSG00000174628.17"	12.832	16.495	5.715	12	23.244	25.643	54.551	48.74
"ENSG00000174640.15"	18	11	78	68	156	71	497.618	633
"ENSG00000174652.20"	4	7	8	32	36	29	105.001	66
"ENSG00000174667.4"	0	0	0	0	0	0	0	1
"ENSG00000174669.12"	1680.234	1397.873	1253.073	1395.479	2325.945	1172.409	1900.896	2965.943
"ENSG00000174672.16"	619.001	522.001	760.976	742	2020.001	898.962	2179	3145.002
"ENSG00000174677.4"	0	0	0	0	0	0	0	0
"ENSG00000174678.9"	0	0	0	0	0	0	0	0
"ENSG00000174680.10"	0	0	0	0	0	0	0	0
"ENSG00000174684.7"	1690.721	1319	1060	1058	2908	1570	2300.205	3181
"ENSG00000174695.10"	52	41.001	49.001	71	51.001	45.999	104.999	114
"ENSG00000174697.5"	0	0	0	0	0	0	0	0
"ENSG00000174705.13"	804.942	627	776	763	1723	886	1327.074	1843
"ENSG00000174715.7"	0	0	0	0	0	0	0	0
"ENSG00000174718.12"	2	3	7	22	3	5	12	17
"ENSG00000174720.18"	19.939	9.999	28.999	56	24.999	17.999	103.498	68
"ENSG00000174721.10"	21	13	28	21	116	63	139.091	170
"ENSG00000174738.13"	14	11	26	69	23	16	113.001	76
"ENSG00000174740.8"	0	0	0	0	0	0	0	0
"ENSG00000174744.14"	2009.128	1558.475	1590.999	1556.019	3759.616	1936.001	2642.038	3217.64
"ENSG00000174748.22"	21721.813	18673.159	22577.419	23639.326	48166.987	27199.136	51457.112	66042.809
"ENSG00000174749.6"	72	66	79	97	135	95	157	187
"ENSG00000174775.18"	1600	1295.149	1561.224	1623.999	3413.73	1651.448	3138.999	4087.834
"ENSG00000174776.12"	0	0	0	0	0	0	0	0
"ENSG00000174780.17"	53	71	129	271	150	72	458	282.999
"ENSG00000174788.10"	7	3	0	3	12.486	7	19.083	22.102
"ENSG00000174791.11"	1510.003	1323.021	1020.902	990.001	3001.702	1395.677	1987.809	2839.23
"ENSG00000174792.11"	0	0	0	0	0	0	0	0
"ENSG00000174796.12"	20.001	13	20	35.999	14	14	45	31
"ENSG00000174799.11"	8	4	23	52.001	12	4	52	50
"ENSG00000174804.4"	3	7	7	23.313	39	16	62.3	57
"ENSG00000174807.4"	0	1	0	0	2	1	1	0
"ENSG00000174808.12"	3	1	6	4	9	12	11	2
"ENSG00000174827.14"	0	0	0	1.402	1.552	0	0	1.664
"ENSG00000174837.15"	0	0	2	1	16	5	9	12
"ENSG00000174839.13"	38	35	45	102	142	80	220	178.481
"ENSG00000174840.9"	122	136	137	217	352	193.011	469	479.035
"ENSG00000174842.17"	12	7	14	30	20	11	50	30
"ENSG00000174844.15"	0	0	0	0	0	0	0	2
"ENSG00000174851.16"	4356.616	3667.334	2866.998	2926.254	6973.78	3519.345	4197.062	5867.081
"ENSG00000174871.11"	331.999	259.999	86	72	601.001	262	217.106	324
"ENSG00000174876.17"	0	0	0	0	0	0	0	0
"ENSG00000174885.13"	23	22	18	24	66	28	18	17
"ENSG00000174886.14"	5164.396	4245.207	3507.218	3265.565	11010.764	5696.022	7430.879	9292.134
"ENSG00000174891.14"	10	4	22	30	36	19	77	46.001
"ENSG00000174898.16"	0	0	0	0	1	0	0	2
"ENSG00000174899.13"	0	0	3	0	7	1	2	1
"ENSG00000174903.16"	10033.118	8069.231	5723.256	5752.435	15578.313	7378.027	8222.518	11412.862
"ENSG00000174912.7"	0	0	0	0	0	0	0	0
"ENSG00000174914.3"	0	0	0	0	0	0	0	0
"ENSG00000174915.12"	1002.879	893	1134	1118.927	2974.007	1498	2580.001	3614.009
"ENSG00000174917.9"	1465.962	1151	986.999	1001.164	3540.328	1633.062	2299.999	2970.72
"ENSG00000174928.16"	12	9	20	22	23	16	73.011	55
"ENSG00000174930.4"	0	0	0	0	0	0	0	0
"ENSG00000174937.5"	0	0	0	0	0	0	0	0
"ENSG00000174938.15"	7584.192	6802.552	6048.008	6170.688	6567.796	3176.845	6430.599	8633.733
"ENSG00000174939.11"	1360.275	1150	1542.014	1581.837	3062.312	1478.117	4135.56	5402.889
"ENSG00000174943.11"	484.723	399	671.03	691	1053.55	503	1238.438	1664.884
"ENSG00000174944.9"	0	0	0	0	0	0	0	0
"ENSG00000174945.14"	7	10	2	4	10	1	9	15
"ENSG00000174946.7"	0	0	0	0	0	0	0	0
"ENSG00000174948.6"	0	0	0	0	0	0	0	0
"ENSG00000174950.11"	0	0	0	0	2	0	0	1
"ENSG00000174951.12"	136	143	144	151	230	120	259	335
"ENSG00000174953.14"	14	10	23	50.001	52	28	147.001	85.999
"ENSG00000174957.1"	0	0	0	0	0	0	0	0
"ENSG00000174963.18"	2	0	0	0	0	0	1	0
"ENSG00000174970.5"	0	0	0	0	0	0	0	0
"ENSG00000174977.8"	0	0	0	0	0	0	0	0
"ENSG00000174982.4"	0	0	0	0	0	0	0	0
"ENSG00000174989.13"	67	59	61	91	157	56	180.95	178.09
"ENSG00000174990.8"	1	0	0	0	0	0	0	0
"ENSG00000174992.8"	3	2	1	0	1	0	0	0
"ENSG00000174996.12"	2366.236	2001.999	2932.094	3042.532	6494.161	3250.001	6482.846	9124.183
"ENSG00000175003.15"	1	1	4	4	7	4	4	19
"ENSG00000175018.13"	0	0	0	1	10	7	9	8
"ENSG00000175029.17"	289.932	261.602	389.398	654.855	800.137	495.483	1347.018	1500.156
"ENSG00000175040.6"	260	214.073	205	209	331	159	396	553.952
"ENSG00000175048.17"	442.128	375	304.001	291	717	398.024	866	1027.077
"ENSG00000175054.16"	8	15	12	27	41	9	84.999	51
"ENSG00000175061.20"	13561.469	13007.564	20428.411	21999.891	17359.27	9561.517	31328.324	36352.899
"ENSG00000175063.17"	1691.959	1459.012	1039.995	1032.027	3802.955	2102.762	1883.708	2195.215
"ENSG00000175065.12"	0	0	0	0	0	1	0	0
"ENSG00000175066.16"	29	21	38	80	57	31	140	114
"ENSG00000175073.8"	4	10	11	23	14	10	55	38
"ENSG00000175077.6"	0	0	0	0	0	0	0	0
"ENSG00000175084.13"	75	75	6	2	39	13	2	3
"ENSG00000175087.10"	6	4	5	22	12	10	38	25
"ENSG00000175093.5"	1	0	0	0	0	0	0	0
"ENSG00000175097.9"	0	0	1	2	0	0	0	0
"ENSG00000175104.15"	8	6	14.001	21	22	10	41	26
"ENSG00000175105.8"	5	6	17	18	11	10	22	35
"ENSG00000175106.17"	15.152	17.526	24.47	53.185	39.836	16.344	63.868	62.358
"ENSG00000175110.14"	85.061	73.698	136.344	160.306	169.834	125.255	320.377	300.358
"ENSG00000175115.13"	2494.999	2094.001	2379.005	2383.438	5721.208	2796.003	4575.11	6416.707
"ENSG00000175121.12"	0	0	0	0	0	0	1	0
"ENSG00000175130.7"	4065.036	3167.32	2465	2219	9497.898	4925.696	6689.511	8572.027
"ENSG00000175137.11"	2044.999	1734.001	832	779	2286.29	1121	1367.999	1724.659
"ENSG00000175143.5"	0	0	0	0	0	0	0	0
"ENSG00000175147.13"	5.861	6.55	9.46	9.971	49.689	21.637	64.785	66.042
"ENSG00000175155.11"	10	9	22	31	6	10	38	33
"ENSG00000175161.14"	0	0	0	0	0	0	0	0
"ENSG00000175164.16"	0	0	0	0	0	0	0	0
"ENSG00000175166.17"	8158.462	6831.836	5875.017	6291.711	12608.631	6991	9086.652	12548.584
"ENSG00000175170.16"	16.111	9	16.623	28	96.767	49.055	96.742	102.981
"ENSG00000175175.6"	1.06	4	9	28.773	5.261	5	23.005	27.096
"ENSG00000175182.15"	508.709	417.053	586.362	582.521	1096.821	502.93	1058.205	1441.904
"ENSG00000175183.10"	126	114	145	189.001	347	173	409	425
"ENSG00000175189.4"	0	1	3	1	3	2	3	2
"ENSG00000175193.14"	563.645	526.516	424.002	382.525	780.586	424.796	708.52	971.234
"ENSG00000175197.13"	252.394	232.626	756.087	843.481	159.96	53.371	1296.569	1578.801
"ENSG00000175198.17"	5.035	9.045	12.213	17	13	7.185	36.001	24.999
"ENSG00000175202.6"	0	0	1	0	0	0	0	1
"ENSG00000175203.17"	3047.013	2429.962	2176.196	2223.99	3414.233	1855.268	2684.47	3743.007
"ENSG00000175206.11"	1	0	1	0	0	1	2	0
"ENSG00000175213.3"	530	427	516	497	779.819	375	730.001	1114
"ENSG00000175215.11"	4369.599	4004.551	4232.81	4419.952	5303	2699	4934	6716.316
"ENSG00000175216.15"	63.038	81	135	269.999	273	112	572	502.01
"ENSG00000175220.12"	3135.991	2578	2159.001	2085.959	3972.847	1981	2926	3849.288
"ENSG00000175221.16"	1233.988	915.368	1164.665	1115.314	3383.858	1585.234	2106.781	2812.543
"ENSG00000175224.17"	1695.709	1459	1847.001	1876.173	2299.002	1334.998	2378.038	3326.258
"ENSG00000175229.7"	0	0	0	0	1	0	1	1
"ENSG00000175262.15"	0	0	0	0	1	1	0	1
"ENSG00000175264.8"	19	15	6	6	26	16	4	15
"ENSG00000175265.19"	101.568	118.798	290.641	574.55	321.767	182.248	1257.148	825.302
"ENSG00000175267.15"	0	0	0	0	1	0	0	0
"ENSG00000175274.19"	1236.999	977.999	940.001	969	2055.423	1173	1648.004	2301
"ENSG00000175279.22"	56.134	50.458	70.828	77.391	151.929	61.417	253.119	213.301
"ENSG00000175283.8"	1227.281	1014.061	671.001	747	1929	1055	1507.017	2227.323
"ENSG00000175287.19"	160	114.999	49	39	111	37.999	38	32.001
"ENSG00000175294.6"	3	3	0	0	2	1	1	1
"ENSG00000175302.5"	0	0	0	0	0	0	0	0
"ENSG00000175305.18"	2.457	6.864	0	5.522	11.777	6	17.568	21.811
"ENSG00000175309.15"	483.137	376.208	477.267	523.367	599.233	317.121	839.502	1099.582
"ENSG00000175311.7"	0	0	0	0	0	0	0	0
"ENSG00000175315.3"	0	0	0	0	0	0	0	0
"ENSG00000175318.12"	113	83	73	77	102	56	65.999	73
"ENSG00000175319.3"	0	0	0	0	0	0	0	0
"ENSG00000175322.12"	2	4	10	18	28.842	11	30	26
"ENSG00000175324.10"	158.943	162	195.415	207.064	315.559	172.903	462.418	532.913
"ENSG00000175325.2"	0	1	0	0	0	0	0	0
"ENSG00000175329.13"	0	0	0	0	0	0	0	0
"ENSG00000175334.8"	7013.762	5884.998	5273.081	5558.096	12267.899	6253.999	7234.1	9225.158
"ENSG00000175336.10"	2	1	0	0	0	0	1	1
"ENSG00000175344.19"	87.935	68.05	78.153	116.519	146.644	114.28	270.771	276.718
"ENSG00000175348.11"	266	222.027	288.372	385	405	220	635.001	731.207
"ENSG00000175352.12"	187	131	189	183	551	280.001	557.001	689.999
"ENSG00000175354.20"	15	26	45	106.999	55	36	147	97.034
"ENSG00000175356.14"	1	0	0	1	1	0	1	1
"ENSG00000175376.9"	530	431.216	402	495.285	696.001	366.001	781	937.896
"ENSG00000175387.16"	220.001	227.999	324	590.001	362	199	692	621.056
"ENSG00000175390.15"	5722.144	5129.694	6713.133	6994.52	8563.023	4745.438	9647.883	13062.975
"ENSG00000175395.16"	0	2	0	4	2	4	13	14
"ENSG00000175398.3"	0	0	0	0	0	0	0	0
"ENSG00000175414.7"	70.06	64.925	94.805	149.017	142.711	81.091	283.712	275.329
"ENSG00000175416.16"	6724.832	5557.301	3967.782	3913.811	8734.116	4525.387	5813.563	7196.655
"ENSG00000175426.11"	7	10	14	19	24	8	51	64.001
"ENSG00000175445.17"	13	7	19	74	55	18	174	131
"ENSG00000175449.14"	3	3	5	11	10	3	12.001	18.001
"ENSG00000175455.16"	9	18	26	72	49	27	174	116.999
"ENSG00000175463.12"	50	48.019	13	13	87	33.287	30	48
"ENSG00000175467.15"	1998.661	1683.203	2132.571	2313.914	3877.572	2025	3374.214	4580.973
"ENSG00000175470.20"	550.019	454	654.001	813.999	1117.203	612.999	1236	1476.001
"ENSG00000175471.20"	11	14	35	59	18	10	59.999	45.999
"ENSG00000175482.9"	1475.339	1037.719	671.592	721.728	1258.001	505.251	924.035	1088.912
"ENSG00000175485.3"	0	0	0	0	0	0	0	0
"ENSG00000175489.10"	0	0	0	0	0	0	0	0
"ENSG00000175497.17"	0	0	0	0	0	0	0	0
"ENSG00000175505.11"	224	172	170	152	359	223.998	334.805	451.019
"ENSG00000175509.8"	1.227	0	1.578	0	0	2	1.371	1.156
"ENSG00000175513.10"	0	0	0	0	0	0	0	0
"ENSG00000175514.2"	0	1	0	0	0	0	0	0
"ENSG00000175518.8"	0	0	0	0	1	0	1	0
"ENSG00000175520.9"	0	0	0	0	0	0	0	0
"ENSG00000175535.6"	0	0	0	0	0	0	0	0
"ENSG00000175536.7"	52.099	56.617	33.286	50.105	56.36	38.804	49.019	74.431
"ENSG00000175538.11"	0	0	1	0	0	0	0	0
"ENSG00000175544.14"	0	0	0	0	1	1	0	3
"ENSG00000175548.9"	15	20	24.591	49	59	24.001	79.999	72
"ENSG00000175550.8"	4543.024	3557.184	3648.857	3471.434	13299.065	6470.787	10004.06	12607.62
"ENSG00000175556.17"	39	32	59	63	72	38	172	162.999
"ENSG00000175564.13"	4	4	3	3	7	3	12	5
"ENSG00000175567.11"	8282.7	6777.904	2115.357	2094	11564.009	5874.753	3984.907	5370.56
"ENSG00000175573.7"	932.985	782	1623.143	1683.43	2130	1013	2663.968	3652.331
"ENSG00000175575.13"	254.999	242.999	306	307	376.001	201	534.001	696
"ENSG00000175581.14"	183	172.999	194	240.999	346.999	204.001	463.999	526.998
"ENSG00000175582.20"	168.972	128.983	295.995	570.932	410.342	265.992	1040.907	796.73
"ENSG00000175591.12"	1017.999	847.907	1038.417	1144.618	967	475	504.667	726
"ENSG00000175592.9"	397	306	427	484.025	1226.002	633.999	1510.221	2172.191
"ENSG00000175595.16"	10	15	27	41.894	43.001	17	90.937	44.625
"ENSG00000175600.16"	48	43	55.999	54	83.999	37	84.001	155
"ENSG00000175602.4"	3674.493	2884	4971.441	4773	11935.985	5937	11133.832	14753.484
"ENSG00000175604.2"	0	0	0	0	2	0	0	0
"ENSG00000175606.11"	280.999	210.999	220	297	555	301.001	635	779
"ENSG00000175611.14"	109.034	84.973	183.185	196.122	161.08	73.449	345.252	478.48
"ENSG00000175619.3"	0	0	0	0	0	0	0	0
"ENSG00000175634.15"	2578.748	1996.069	1697.202	1598.239	4483.258	2123.2	3323.001	4394.999
"ENSG00000175643.10"	273	234	216.999	258	339	163	386.097	482.013
"ENSG00000175646.4"	0	0	0	0	0	0	0	0
"ENSG00000175658.4"	2	0	0	0	0	0	3.299	0
"ENSG00000175662.18"	1300	1033.008	799	766	1571.148	775	1225	1555.47
"ENSG00000175664.10"	0	0	0	0	0	0	0	0
"ENSG00000175676.16"	0	0	0	0	0	0	0	0
"ENSG00000175691.9"	10	11	15	21	19	7	46	42
"ENSG00000175697.11"	53.182	41	44	60	81	55	70	113
"ENSG00000175699.15"	0	0	0	0	0	0	1	0
"ENSG00000175701.11"	531	451	484	474.001	548.001	298	527	653
"ENSG00000175707.10"	1	0	0	2	0	0	1	2
"ENSG00000175711.9"	77.02	45.32	63.255	71.896	172.692	104.853	170.256	188.518
"ENSG00000175718.10"	0	0	0	0	0	0	0	0
"ENSG00000175727.14"	2243.999	1724.999	2422	2496.471	4277.062	2089.163	4357	6050.655
"ENSG00000175728.4"	2	0	2	0	2	0	4	5
"ENSG00000175730.8"	0	1.02	0	0	0	0	0	1.012
"ENSG00000175741.5"	0	0	0	0	0	0	0	0
"ENSG00000175745.15"	1889.875	1638.186	2748.118	3701.185	4308.991	2431.986	5217.984	5642.172
"ENSG00000175746.7"	0	0	0	1	0	0	0	0
"ENSG00000175749.11"	0	0	0	0	1	0	0	0
"ENSG00000175756.14"	9188.156	7442.738	6362.332	6487.793	14289.296	7201.06	9238.002	12325.09
"ENSG00000175764.17"	101	80	87	101	185.999	98.001	194.064	249.999
"ENSG00000175766.13"	0	1	0	0	0	0	0	0
"ENSG00000175768.13"	1321.106	1108.999	859.586	1027.944	2333.124	1319	2138.43	2684.686
"ENSG00000175772.11"	220	179.626	247.314	312.171	338.929	187.265	637.861	731.494
"ENSG00000175773.15"	1	2	2	2	3	1	6	7
"ENSG00000175779.5"	0	0	0	0	0	0	0	0
"ENSG00000175782.11"	274.003	217	196	277	362.001	196.999	375.001	487.001
"ENSG00000175785.13"	42	19	19	18	12	3	5	17
"ENSG00000175787.17"	22	18	31	26	42	14	50	65.012
"ENSG00000175792.12"	1314.118	1029.05	753.899	783.828	3022.191	1681.657	2054.909	2616.405
"ENSG00000175793.12"	7297.49	6230.676	1887	2105.551	7597.138	3425.128	3334.017	4092.028
"ENSG00000175800.5"	0	0	0	0	0	0	0	0
"ENSG00000175806.15"	14	17	9.004	9	7	5	17	23
"ENSG00000175809.6"	0	0	0	0	0	0	0	0
"ENSG00000175820.4"	0	0	0	0	0	1	0	0
"ENSG00000175826.12"	5771.041	4757.244	5884.217	5777.403	7672.011	3938.444	7069.642	9790.168
"ENSG00000175832.13"	371.001	269.004	363.999	353	1444	764.997	1892.095	2697.732
"ENSG00000175841.8"	0	0	0	0	0	0	0	0
"ENSG00000175854.15"	437.999	438.001	406	437.001	800.016	468	842.006	991.014
