"KO-DMSO_Rep1"	"KO-DMSO_Rep2"	"KO-E20_Rep1"	"KO-E20_Rep2"	"WT-DMSO_Rep1"	"WT-DMSO_Rep2"	"WT-E20_Rep1"	"WT-E20_Rep2"
"ENSG00000005100.13"	130	125	261	434.057	338.02	220	874	835
"ENSG00000005102.14"	12	10	1	2	11	8	5	2
"ENSG00000005108.17"	0	0	0	0	1	0	4	3
"ENSG00000005156.12"	540.553	447.578	454.891	525.941	1229.146	713.87	1037.396	1342.182
"ENSG00000005175.10"	12	19	30	61	50	22.001	93	69
"ENSG00000005187.12"	6	3	3	3	10	5	8.238	8.977
"ENSG00000005189.20"	49	34.001	28	31	151	115	187.001	158
"ENSG00000005194.15"	2627	2089.952	1779.9	1794.994	2982.7	1602	2208.001	2952.264
"ENSG00000005206.17"	2191.001	1653.995	1293.999	1347	4561.375	2145.004	3449.454	4538.001
"ENSG00000005238.20"	489	381.032	234	252.03	411.027	222.001	409.999	601.999
"ENSG00000005243.10"	979	821	456.001	388.999	1030.015	499.032	600.002	816.906
"ENSG00000005249.13"	12	14	20	44	70	31	91	100
"ENSG00000005302.19"	42.001	37	43	64	157	79	273	263.001
"ENSG00000005339.15"	622.001	571.999	1167	1623	1081.001	638.052	1929.005	1870.001
"ENSG00000005379.17"	157	166.001	137	149	213	90	161	237.999
"ENSG00000005381.9"	0	0	0	0	0	0	0	0
"ENSG00000005421.9"	0	0	0	0	0	0	0	0
"ENSG00000005436.14"	63.498	50	90	126.995	90.044	43	174.915	217.518
"ENSG00000005448.17"	2093.061	1794	1223.533	1215.002	2811.594	1314.028	1585	2277
"ENSG00000005469.12"	11	8	9	15	26	3	43.007	34
"ENSG00000005471.19"	0	0	0	0	0	0	0	0
"ENSG00000005483.23"	51	62	92.001	211.057	136.999	53.999	286.023	206.435
"ENSG00000005486.17"	4949.575	3845.694	3680.274	3486	7249.829	3317.794	5640.997	8223.33
"ENSG00000005513.10"	0	0	0	0	0	0	0	0
"ENSG00000005700.15"	11	18	52	93	45	19	143.431	91
"ENSG00000005801.18"	16	10	16	44	41	21	65	49
"ENSG00000005810.20"	12	14	24	75	26	17	113	71
"ENSG00000005812.11"	20	24	48.778	92.083	62	28	106.605	72.448
"ENSG00000005844.19"	0	0	0	2	0	0	0	1
"ENSG00000005882.12"	1835.292	1455.547	1039.696	1038.986	2719.557	1360.117	1702.608	2180.535
"ENSG00000005884.18"	11785.438	9921.003	7061.01	6562.559	9127.281	4402.11	8302.756	11633.446
"ENSG00000005889.16"	13.663	26	36	79	67	35	162	129
"ENSG00000005893.16"	290	260	461.999	687	403	211	1017.286	1085
"ENSG00000005961.19"	410.999	337.002	146	145	540.001	239.999	237.106	364.293
"ENSG00000005981.13"	0	0	0	0	0	1	0	0
"ENSG00000006007.12"	536	428	535	674	794.898	395.001	1203	1279.029
"ENSG00000006015.18"	2322.171	1852	1131.669	1094.999	4567.873	2203.028	2261	2961.372
"ENSG00000006016.12"	2286.052	2166.364	1497.279	1549.147	1798.01	903.944	1599.691	2103.82
"ENSG00000006025.12"	109	65	60.999	64	389	189	392	489.052
